width,params,repeat,epoch,train_loss,train_acc,test_loss,test_acc
1,774,0,99,2.303628,0.100800,2.303135,0.100000
1,774,0,100,2.303329,0.099200,2.303590,0.100000
1,774,0,101,2.303419,0.101700,2.302977,0.100000
1,774,0,102,2.303526,0.102600,2.303540,0.100000
1,774,0,103,2.303489,0.101900,2.303329,0.100000
1,774,0,104,2.303790,0.100800,2.303654,0.100000
1,774,0,105,2.303282,0.105700,2.303076,0.100000
1,774,0,106,2.303283,0.101700,2.303291,0.100000
1,774,0,107,2.303173,0.102600,2.303160,0.100000
1,774,0,108,2.303301,0.102800,2.303620,0.100000
1,774,0,109,2.303421,0.101700,2.302949,0.100000
1,774,0,110,2.303521,0.099200,2.303437,0.100000
1,774,0,111,2.303348,0.099200,2.303173,0.100000
1,774,0,112,2.303535,0.098600,2.303226,0.100000
1,774,0,113,2.303284,0.101700,2.302837,0.100000
1,774,0,114,2.303263,0.099700,2.303260,0.100000
1,774,0,115,2.303171,0.105700,2.302907,0.100000
1,774,0,116,2.303356,0.103300,2.303174,0.100000
1,774,0,117,2.303322,0.103300,2.303105,0.100000
1,774,0,118,2.303021,0.101200,2.303088,0.100000
1,774,0,119,2.303396,0.100100,2.303016,0.100000
1,774,0,120,2.303313,0.103300,2.303322,0.100000
1,774,0,121,2.303332,0.100400,2.303052,0.100000
1,774,0,122,2.303078,0.099100,2.302982,0.100000
1,774,0,123,2.302969,0.105700,2.302929,0.100000
1,774,0,124,2.302823,0.101100,2.303088,0.100000
1,774,0,125,2.303117,0.101600,2.302945,0.100000
1,774,0,126,2.303267,0.101800,2.303055,0.100000
1,774,0,127,2.303170,0.101800,2.302998,0.100000
1,774,0,128,2.303054,0.105700,2.303157,0.100000
1,774,0,129,2.302840,0.100500,2.303080,0.100000
1,774,0,130,2.302850,0.102700,2.302878,0.100000
1,774,0,131,2.302917,0.103400,2.302872,0.100000
1,774,0,132,2.302890,0.100000,2.302976,0.100000
1,774,0,133,2.303014,0.103900,2.303045,0.100000
1,774,0,134,2.302928,0.102200,2.302951,0.100000
1,774,0,135,2.302708,0.104300,2.302912,0.100000
1,774,0,136,2.302943,0.102000,2.302933,0.100000
1,774,0,137,2.302758,0.103400,2.303025,0.100000
1,774,0,138,2.302670,0.105700,2.302966,0.100000
1,774,0,139,2.302833,0.105700,2.302889,0.100000
1,774,0,140,2.302830,0.105700,2.302814,0.100000
1,774,0,141,2.302729,0.101300,2.302896,0.100000
1,774,0,142,2.302709,0.100600,2.302996,0.100000
1,774,0,143,2.302868,0.105700,2.302901,0.100000
1,774,0,144,2.302730,0.105700,2.302952,0.100000
1,774,0,145,2.302761,0.105700,2.302912,0.100000
1,774,0,146,2.302671,0.105700,2.302844,0.100000
1,774,0,147,2.302810,0.103400,2.302912,0.100000
1,774,0,148,2.302619,0.101700,2.302923,0.100000
1,774,0,149,2.302629,0.100400,2.303017,0.100000
1,774,0,150,2.302559,0.105700,2.302911,0.100000
1,774,0,151,2.302672,0.105700,2.302879,0.100000
1,774,0,152,2.302671,0.105700,2.302874,0.100000
1,774,0,153,2.302701,0.101500,2.303000,0.100000
1,774,0,154,2.302679,0.100800,2.302901,0.100000
1,774,0,155,2.302711,0.104100,2.302941,0.100000
1,774,0,156,2.302583,0.105700,2.303054,0.100000
1,774,0,157,2.302534,0.105700,2.302968,0.100000
1,774,0,158,2.302608,0.105700,2.302922,0.100000
1,774,0,159,2.302574,0.105700,2.302906,0.100000
1,774,0,160,2.302540,0.102900,2.302854,0.100000
1,774,0,161,2.302501,0.105700,2.302892,0.100000
1,774,0,162,2.302563,0.105700,2.302935,0.100000
1,774,0,163,2.302517,0.105700,2.302952,0.100000
1,774,0,164,2.302511,0.105700,2.302976,0.100000
1,774,0,165,2.302549,0.105700,2.302952,0.100000
1,774,0,166,2.302429,0.105700,2.302822,0.100000
1,774,0,167,2.302431,0.105700,2.302844,0.100000
1,774,0,168,2.302394,0.105700,2.302915,0.100000
1,774,0,169,2.302445,0.105700,2.302873,0.100000
1,774,0,170,2.302457,0.105700,2.302944,0.100000
1,774,0,171,2.302450,0.105700,2.302895,0.100000
1,774,0,172,2.302401,0.105700,2.302914,0.100000
1,774,0,173,2.302341,0.105700,2.302870,0.100000
1,774,0,174,2.302393,0.105700,2.302932,0.100000
1,774,0,175,2.302421,0.105700,2.302930,0.100000
1,774,0,176,2.302274,0.105700,2.302901,0.100000
1,774,0,177,2.302343,0.105700,2.302887,0.100000
1,774,0,178,2.302312,0.105700,2.302889,0.100000
1,774,0,179,2.302321,0.105700,2.302907,0.100000
1,774,0,180,2.302334,0.105700,2.302904,0.100000
1,774,0,181,2.302339,0.105700,2.302901,0.100000
1,774,0,182,2.302297,0.105700,2.302890,0.100000
1,774,0,183,2.302350,0.105700,2.302910,0.100000
1,774,0,184,2.302259,0.105700,2.302898,0.100000
1,774,0,185,2.302362,0.105700,2.302899,0.100000
1,774,0,186,2.302268,0.105700,2.302889,0.100000
1,774,0,187,2.302387,0.105700,2.302897,0.100000
1,774,0,188,2.302340,0.105700,2.302896,0.100000
1,774,0,189,2.302345,0.105700,2.302897,0.100000
1,774,0,190,2.302357,0.105700,2.302893,0.100000
1,774,0,191,2.302309,0.105700,2.302889,0.100000
1,774,0,192,2.302223,0.105700,2.302897,0.100000
1,774,0,193,2.302384,0.105700,2.302895,0.100000
1,774,0,194,2.302266,0.105700,2.302896,0.100000
1,774,0,195,2.302299,0.105700,2.302892,0.100000
1,774,0,196,2.302299,0.105700,2.302892,0.100000
1,774,0,197,2.302299,0.105700,2.302892,0.100000
1,774,0,198,2.302299,0.105700,2.302892,0.100000
1,774,0,199,2.302299,0.105700,2.302892,0.100000
1,774,0,200,2.302299,0.105700,2.302892,0.100000
1,774,1,1,2.244691,0.164900,2.127678,0.228000
1,774,1,2,2.176285,0.202800,2.187591,0.166100
1,774,1,3,2.194543,0.192300,2.202688,0.183000
1,774,1,4,2.165064,0.207800,2.117482,0.217000
1,774,1,5,2.145561,0.215500,2.128687,0.220300
1,774,1,6,2.186999,0.196600,2.029760,0.265100
1,774,1,7,2.137250,0.220400,2.029586,0.264800
1,774,1,8,2.120723,0.234400,2.030865,0.262400
1,774,1,9,2.103619,0.242100,1.980392,0.295600
1,774,1,10,2.083998,0.251300,1.952894,0.292600
1,774,1,11,2.076821,0.253300,2.055578,0.250200
1,774,1,12,2.062770,0.256800,1.917460,0.309000
1,774,1,13,2.048959,0.265600,1.922956,0.292800
1,774,1,14,2.068612,0.258200,1.919002,0.304600
1,774,1,15,2.051411,0.264700,1.970973,0.279700
1,774,1,16,2.094619,0.244700,1.899269,0.308500
1,774,1,17,2.059868,0.258400,1.998327,0.267800
1,774,1,18,2.090984,0.242300,1.977921,0.289700
1,774,1,19,2.070813,0.253100,1.935238,0.293600
1,774,1,20,2.064305,0.259900,1.889006,0.310100
1,774,1,21,2.064614,0.260600,1.957833,0.300900
1,774,1,22,2.061577,0.259900,1.967277,0.286800
1,774,1,23,2.045205,0.267800,2.016657,0.277100
1,774,1,24,2.060153,0.261100,1.968617,0.279800
1,774,1,25,2.076903,0.252000,1.965367,0.294200
1,774,1,26,2.061910,0.259000,1.915035,0.309700
1,774,1,27,2.050627,0.264800,1.902180,0.318600
1,774,1,28,2.044405,0.263200,1.903086,0.314400
1,774,1,29,2.046289,0.266900,1.889678,0.317700
1,774,1,30,2.039309,0.267100,1.966225,0.275900
1,774,1,31,2.050329,0.265300,1.908710,0.299300
1,774,1,32,2.042159,0.267500,1.900236,0.315000
